Condition,Rarity,Typical Minimum Age,Typical Maximum Age,Gender,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,,,,,,,,,,
Acquired Blepharoptosis,Uncommon,40,80,both,Drooping eyelid(s),Vision obstruction,Eyestrain,Severe headache usually around one eye,,,Fatigue,,,,,,,,,,,,,,,,,,
Acquired Coagulation Factor Inhibitor Disorder,Very Rare,20,80,both,Excessive bleeding,Excessive bruising,Nosebleeds,Bleeding gums,Blood in urine or stool,Excessive menstrual bleeding,,,,,,,,,,,,,,,,,,,
Acquired Factor Viii Deficiency Disease,Very Rare,20,80,both,Excessive bleeding,Excessive bruising,Nosebleeds,Bleeding gums,Blood in urine or stool,Excessive menstrual bleeding,,,,,,,,,,,,,,,,,,,
Acquired Immunodeficiency Syndrome With Toxoplasmosis,Very Rare,20,70,both,Fever,fatigue,sore throat,swollen lymph nodes,Rash,Headache,Body aches,Night sweats,Diarrhea,Weight loss,,,,,,,,,,,,,,,
Acquired Thrombocytopenia,Uncommon,20,70,both,Excessive bruising,Bleeding gums,Petechiae (small red or purple spots on the skin),Blood in urine,Excessive menstrual bleeding,Prolonged bleeding,Nosebleeds,Blood in stool,,,,,,,,,,,,,,,,,
Acquired Thrombotic Thrombocytopenic Purpura,Very Rare,20,70,both,Petechiae (small red or purple spots on the skin),Excessive bruising,Paleness,Fatigue,Yellowing of the skin and eyes (jaundice),headache,confusion,Seizures,Fever,Rapid heart rate,Shortness of breath,,,,,,,,,,,,,,
Acromegaly,Rare,30,60,both,Enlarged hands,Coarsened facial features,Enlarged organs,Joint pain,Thickened skin,trouble sleeping due to coughing or wheezing,Fatigue,Enlarged Feet,,,,,,,,,,,,,,,,,
Actinic Keratosis,Common,40,80,both,scaly patch on face,scaly patch on scalp,scaly patch on arms,scaly patch on hands,Scaly skin,,,,,,,,,,,,,,,,,,,,
Actinic Keratosis Of The Upper Extremity,Common,40,80,both,scaly patch on face,scaly patch on scalp,scaly patch on arms,scaly patch on hands,Scaly skin,,,,,,,,,,,,,,,,,,,,
Actinic Keratosis On The Face Or Scalp,Common,40,80,both,scaly patch on face,scaly patch on scalp,scaly patch on arms,scaly patch on hands,Scaly skin,,,,,,,,,,,,,,,,,,,,
Actinic Keratosis On The Trunk Or Extremities,Common,40,80,both,scaly patch on face,scaly patch on scalp,scaly patch on arms,scaly patch on hands,Scaly skin,,,,,,,,,,,,,,,,,,,,
Actinic Prurigo,Rare,20,60,both,,Rash,small bumps or blisters,Swelling,Burning or stinging sensation.,,,,,,,,,,,,,,,,,,,,
Actinomycosis,Rare,20,60,both,Abdominal Pain,Fever,Weight loss,Abscesses,Fistulas,,,,,,,,,,,,,,,,,,,,
Actinomycotic Mycetoma,Very Rare,20,60,both,Swelling,Nodules,Draining sinuses,Ulceration,Discharge of pus.,,,,,,,,,,,,,,,,,,,,
"Activated Phosphoinositide 3,Kinase Delta Syndrome",Very Rare,5,30,both,Recurrent respiratory infections,Lymphadenopathy,Bronchiectasis,Autoimmune cytopenia.,,,,,,,,,,,,,,,,,,,,,
Active Lupus Nephritis,Rare,20,50,both,Proteinuria,Blood in urine,Hypertension,Edema,Kidney dysfunction.,,,,,,,,,,,,,,,,,,,,
Active Tuberculosis,Uncommon,1,80,both,Coughing,Weight loss,Fever,Night sweats,Fatigue,Hemoptysis.,,,,,,,,,,,,,,,,,,,
Acute Adrenocortical Insufficiency,Rare,20,60,both,Fatigue,Weakness,Nausea,Vomiting,Abdominal Pain,Hypotension,Shock.,,,,,,,,,,,,,,,,,,
"Acute Angle,Closure Glaucoma",Rare,40,80,both,Severe eye pain,Headache,Blurred vision,Halos around lights,Nausea,Vomiting,,,,,,,,,,,,,,,,,,,
Acute Arterial Thromboembolism,Rare,40,80,both,Sudden onset of severe chest pain,Shortness of breath,Rapid heart rate,Sweating,Paleness,Weakness or dizziness.,,,,,,,,,,,,,,,,,,,
Acute Asthma Attack,Common,0,60,both,Wheezing,Coughing,Shortness of breath,Chest tightness,Rapid breathing,Use of accessory muscles for breathing.,,,,,,,,,,,,,,,,,,,
Acute Bacterial Maxillary Sinusitis,Common,10,60,both,Facial pain or pressure,Nasal congestion,Thick nasal discharge,Reduced sense of smell,Coughing,Fever,,,,,,,,,,,,,,,,,,,
Acute Bacterial Otitis Media,Common,0,5,both,Ear pain,Fluid drainage from the ear,Hearing loss,Fever,Irritability (in children).,,,,,,,,,,,,,,,,,,,,
Acute Bacterial Sinusitis,Common,10,60,both,Facial pain or pressure,Nasal congestion,Thick nasal discharge,Reduced sense of smell,Coughing,Fever,,,,,,,,,,,,,,,,,,,
Acute Coronary Syndrome,Common,40,80,both,Chest pain,Shortness of breath,Nausea or vomiting,Sweating,Dizziness or lightheadedness.,,,,,,,,,,,,,,,,,,,,
Acute Decompensated Heart Failure,Common,40,80,both,Shortness of breath,Fatigue,Swelling in legs,ankles,or feet,Rapid or irregular heartbeat,Coughing,,,,,,,,,,,,,,,,,,
Acute Disseminated Candidiasis,Very Rare,1,80,both,Fever,Chills,Rash,Fatigue,Muscle aches,Joint pain,Headache,Lesions,,,,,,,,,,,,,,,,,
Acute Duodenal Ulcer With Hemorrhage,Rare,20,80,both,Abdominal Pain,Nausea or vomiting,Blood in vomit,Fatigue,Weakness,Shortness of breath,Blood in stool,,,,,,,,,,,,,,,,,,
Acute E. Coli Bacterial Sinusitis,Very Rare,10,60,both,Facial pain or pressure,Nasal congestion,Thick nasal discharge,Reduced sense of smell,Coughing,Fever,,,,,,,,,,,,,,,,,,,
Acute Epiglottitis,Rare,2,7,both,Sore throat,Difficulty swallowing,Fever,Excessive drooling or saliva production,Difficulty breathing,"High,pitched sound when inhaling.",,,,,,,,,,,,,,,,,,,
Acute Episode Of Anginal Pain,Common,30,80,both,Chest pain,Pain in arms,back,neck,jaw,or stomach,Shortness of breath,Nausea,Lightheadedness.,,,,,,,,,,,,,,,,
Acute Exacerbation Of Multiple Sclerosis,Rare,20,60,both,Numbness or weakness in one or more limbs,Electric shock sensations with certain neck movements,Fatigue,Blurred or double vision,Difficulty with coordination and balance.,,,,,,,,,,,,,,,,,,,,
Acute Exacerbation Of Obstructive Chronic Bronchitis By M. Catarrhalis,Uncommon,0,100,both,Coughing with thick yellow or green mucus,Shortness of breath,Wheezing,Chest tightness or discomfort.,,,,,,,,,,,,,,,,,,,,,
Acute Exacerbation Of Obstructive Chronic Bronchitis By Streptococcus Pneumoniae,Uncommon,0,100,both,Coughing with thick yellow or green mucus,Shortness of breath,Wheezing,Chest tightness or discomfort.,,,,,,,,,,,,,,,,,,,,,
Acute Exacerbation Of Obstructive Chronic Bronchitis Due To H. Flu,Uncommon,0,100,both,Coughing with thick yellow or green mucus,Shortness of breath,Wheezing,Chest tightness or discomfort.,,,,,,,,,,,,,,,,,,,,,
Acute Gastric Ulcer With Hemorrhage,Rare,0,100,both,Abdominal Pain,Nausea or vomiting,Blood in vomit,Fatigue,Weakness,Shortness of breath,Blood in stool,,,,,,,,,,,,,,,,,,
"Acute Gastroenteritis,Related Vomiting In Pediatrics",Common,0,12,both,Vomiting,Diarrhea,Abdominal Pain,Fever,Dehydration.,,,,,,,,,,,,,,,,,,,,
Acute Gonococcal Cervicitis,Uncommon,12,60,Female,Vaginal discharge,Pain during urination,Abnormal vaginal bleeding,Pelvic pain.,,,,,,,,,,,,,,,,,,,,,
Acute Gonococcal Endometritis,Rare,12,60,Female,Lower abdominal pain or discomfort,Fever,Abnormal vaginal discharge,Pain during intercourse.,,,,,,,,,,,,,,,,,,,,,
"Acute Gonococcal Epididymo,Orchitis",Rare,12,60,Male,Pain and swelling of the testicles,Fever,Urethral discharge.,,,,,,,,,,,,,,,,,,,,,,
Acute Gonococcal Urethritis,Uncommon,12,60,Male,Pain or burning sensation during urination,Frequent urination,Discharge from the penis,Swelling or tenderness of the testicles.,,,,,,,,,,,,,,,,,,,,,
Acute Gouty Arthritis,Common,40,60,both,Joint pain,Swelling,Redness,Warmth,Limited range of motion.,,,,,,,,,,,,,,,,,,,,
Acute Haemophilus Influenzae Bacterial Sinusitis,Very Rare,0,100,both,Facial pain or pressure,Nasal congestion,Thick nasal discharge,Reduced sense of smell,Coughing,Fever,,,,,,,,,,,,,,,,,,,
Acute Haemophilus Parahaemolyticus Bacterial Sinusitis,Very Rare,40,80,both,Facial pain or pressure,Nasal congestion,Thick nasal discharge,Reduced sense of smell,Coughing,Fever,,,,,,,,,,,,,,,,,,,
Acute Haemophilus Parainfluenzae Bacterial Sinusitis,Very Rare,40,80,both,Facial pain or pressure,Nasal congestion,Thick nasal discharge,Reduced sense of smell,Coughing,Fever,,,,,,,,,,,,,,,,,,,
Acute Hepatic Failure,Rare,40,80,both,Yellowing of the skin and eyes (jaundice),Abdominal Pain,Nausea and vomiting,Fatigue,Weakness,Confusion,,,,,,,,,,,,,,,,,,,
Acute Hepatic Porphyria,Very Rare,20,80,both,Abdominal Pain,Neuropathy,Muscle weakness or paralysis,Confusion,Hallucinations,Seizures,,,,,,,,,,,,,,,,,,,
Acute Hepatitis C,Rare,0,18,both,Fatigue,Nausea or vomiting,Loss of appetite,Abdominal Pain,Yellowing of the skin and eyes (jaundice),Dark urine,"Clay,colored stools.",,,,,,,,,,,,,,,,,,
Acute Hypotension,Common,15,45,female,Dizziness,Fainting,Blurred vision,Fatigue,Confusion,paleness,,,,,,,,,,,,,,,,,,,
Acute Intermittent Porphyria,Very Rare,15,45,female,Abdominal Pain,Neuropathy,Muscle weakness or paralysis,Confusion,Hallucinations,Seizures,,,,,,,,,,,,,,,,,,,
Acute Intestinal Amebiasis,Rare,15,45,male,Diarrhea (which may contain blood or mucus),Abdominal pain,Fatigue,Weight loss,Fever,,,,,,,,,,,,,,,,,,,,
Acute Intestinal Amebiasis Due To Entamoeba Histolytica,Rare,15,45,male,Same symptoms as acute intestinal amebiasis,specifically caused by Entamoeba histolytica.,,,,,,,,,,,,,,,,,,,,,,,
Acute Lower Genitourinary Gonorrhea,Uncommon,30,70,both,Pain or burning sensation during urination,Frequent urination,Discharge from the penis or vagina,Swollen lymph nodes in the groin,Rectal pain,Anal discharge.,,,,,,,,,,,,,,,,,,,
Acute Lymphoid Leukemia,Rare,10,60,both,Fatigue,Paleness,Frequent infections,Fever,Excessive bruising,Bone pain.,,,,,,,,,,,,,,,,,,,
Acute Maxillary Haemophilus Influenzae Sinusitis,Very Rare,10,70,both,Facial pain or pressure,Nasal congestion,Thick nasal discharge,Reduced sense of smell,Coughing,Fever,,,,,,,,,,,,,,,,,,,
Acute Maxillary Moraxella Catarrhalis Sinusitis,Uncommon,10,70,both,Facial pain or pressure,Nasal congestion,Thick nasal discharge,Reduced sense of smell,Coughing,Fever,,,,,,,,,,,,,,,,,,,
Acute Maxillary Streptococcus Pneumoniae Sinusitis,Uncommon,10,70,both,Facial pain or pressure,Nasal congestion,Thick nasal discharge,Reduced sense of smell,Coughing,Fever,,,,,,,,,,,,,,,,,,,
Acute Monocytic Leukemia,Rare,20,80,both,Fatigue,Weakness,Shortness of breath,Fever,Easy bruising,Frequent infections,Bone pain or tenderness.,Easy bleeding,,,,,,,,,,,,,,,,,
Acute Moraxella Catarrhalis Bacterial Sinusitis,Rare,10,70,both,Facial pain or pressure,Nasal congestion,Thick nasal discharge,Reduced sense of smell,Coughing,Fever,,,,,,,,,,,,,,,,,,,
Acute Myeloid Leukemia,Uncommon,20,80,both,Fatigue,Weakness,Shortness of breath,Fever,Easy bruising,Frequent infections,Bone pain or tenderness.,Easy bleeding,,,,,,,,,,,,,,,,,
"Acute Myeloid Leukemia With Fms,Like Tyrosine Kinase,3 (Flt3) Mutation",Rare,20,80,both,Fatigue,Weakness,Shortness of breath,Fever,Easy bruising,Frequent infections,Bone pain or tenderness.,Easy bleeding,,,,,,,,,,,,,,,,,
"Acute Myeloid Leukemia With Isocitrate Dehydrogenase,1 (Idh1) Mutation",Rare,20,80,both,Fatigue,Weakness,Shortness of breath,Fever,Easy bruising,Frequent infections,Bone pain or tenderness.,Easy bleeding,,,,,,,,,,,,,,,,,
"Acute Myeloid Leukemia With Isocitrate Dehydrogenase,2 (Idh2) Mutation",Rare,20,80,both,Fatigue,Weakness,Shortness of breath,Fever,Easy bruising,Frequent infections,Bone pain or tenderness.,Easy bleeding,,,,,,,,,,,,,,,,,
"Acute Myeloid Leukemia With Myelodysplasia,Related Changes",Rare,20,80,both,Fatigue,Weakness,Shortness of breath,Fever,Easy bruising,Frequent infections,Bone pain or tenderness.,Easy bleeding,,,,,,,,,,,,,,,,,
Acute Myelomonocytic Leukemia,Uncommon,20,80,both,Fatigue,Weakness,Shortness of breath,Fever,Easy bruising,Frequent infections,Bone pain or tenderness.,Easy bleeding,,,,,,,,,,,,,,,,,
Acute Myocardial Infarction,Common,30,80,both,Chest pain,Upper body discomfort,Shortness of breath,Nausea or vomiting,Sweating,"Light,headedness or fainting.",,,,,,,,,,,,,,,,,,,
Acute Necrotizing Ulcerative Gingivitis,Uncommon,10,40,both,Painful,bleeding gums,Bad breath,Ulcers or sores in the mouth,Gum swelling,Fever,difficulty swallowing,,,,,,,,,,,,,,,,,,
Acute Osteomyelitis,Uncommon,0,80,both,Pain,Swelling,Redness,Warmth,Limited range of motion,Fever,Chills,,,,,,,,,,,,,,,,,,
Acute Pain,Common,0,80,both,Sensation of discomfort or distress localized to a particular body part or region,which is sudden in onset and usually subsides with healing.,,,,,,,,,,,,,,,,,,,,,,,
Acute Postoperative Pain Following Bunionectomy,Uncommon,20,70,both,Pain,Swelling,Redness,Warmth,Limited range of motion.,,,,,,,,,,,,,,,,,,,,
Acute Postoperative Pain Following Open Inguinal Hernia Repair,Uncommon,20,70,both,Pain,Swelling,Redness,Warmth,Limited range of motion.,,,,,,,,,,,,,,,,,,,,
Acute Postoperative Pain Following Total Knee Arthroplasty,Rare,20,70,both,Pain,Swelling,Redness,Warmth,Limited range of motion.,,,,,,,,,,,,,,,,,,,,
Acute Promyelocytic Leukemia,Very Rare,20,80,both,Fatigue,Weakness,Shortness of breath,Fever,Easy bruising,Frequent infections,Bone pain or tenderness.,Easy bleeding,,,,,,,,,,,,,,,,,
Acute Proteus Mirabilis Otitis Externa,Very Rare,0,80,both,Ear pain,Itching in the ear canal,Drainage from the ear,Decreased hearing.,,,,,,,,,,,,,,,,,,,,,
Acute Pseudomonas Aeruginosa Otitis Externa,Rare,0,80,both,Ear pain,Itching in the ear canal,Drainage from the ear,Decreased hearing.,,,,,,,,,,,,,,,,,,,,,
Acute Pseudomonas Aeruginosa Pneumonia Associated With Cystic Fibrosis,Common,0,80,both,Coughing,Shortness of breath,Fatigue,Weight loss,Recurrent lung infections.,,,,,,,,,,,,,,,,,,,,
Acute Pulmonary Edema,Uncommon,40,80,both,Difficulty breathing,Shortness of breath,Wheezing,Coughing up pink,frothy sputum,Anxiety,Restlessness,Rapid breathing,Confusion,,,,,,,,,,,,,,,,
Acute Pulmonary Thromboembolism,Common,30,80,both,Shortness of breath,Chest pain,Rapid heart rate,Coughing,Sweating,Dizziness or fainting.,,,,,,,,,,,,,,,,,,,
Acute Repetitive Seizures,Common,0,60,both,Convulsions,Loss of consciousness,Muscle rigidity or stiffness,Jerking movements of the arms and legs.,,,,,,,,,,,,,,,,,,,,,
Acute Rheumatic Carditis,Uncommon,5,40,both,Chest pain,Shortness of breath,Rapid heartbeat,Fatigue,Fever,Joint pain,Swelling,,,,,,,,,,,,,,,,,,
Acute Shoulder Pain Due To Bursitis,Common,20,60,both,Shoulder pain,Swelling,Warmth,Redness,Limited range of motion.,,,,,,,,,,,,,,,,,,,,
Acute Shoulder Pain Due To Tendonitis,Common,20,60,both,Shoulder pain that worsens with movement,Tenderness,Swelling,Limited range of motion.,,,,,,,,,,,,,,,,,,,,,
Acute Sinusitis Due To Klebsiella Pneumoniae,Very Rare,10,70,both,Facial pain or pressure,Nasal congestion,Thick nasal discharge,Reduced sense of smell,Coughing,Fever,,,,,,,,,,,,,,,,,,,
Acute St Elevation Myocardial Infarction,Common,30,80,both,Chest pain,Shortness of breath,Nausea or vomiting,Sweating,Dizziness or lightheadedness.,,,,,,,,,,,,,,,,,,,,
Acute Staph. Aureus Sinusitis,Very Rare,10,70,both,Facial pain or pressure,Nasal congestion,Thick nasal discharge,Reduced sense of smell,Coughing,Fever,,,,,,,,,,,,,,,,,,,
Acute Staphylococcal Bacterial Sinusitis,Rare,10,70,both,Facial pain or pressure,Nasal congestion,Thick nasal discharge,Reduced sense of smell,Coughing,Fever,,,,,,,,,,,,,,,,,,,
Acute Staphylococcus Aureus Otitis Externa,Rare,10,70,both,Ear pain,Itching in the ear canal,Drainage from the ear,Decreased hearing.,,,,,,,,,,,,,,,,,,,,,
Acute Streptococcal Epiglottitis,Rare,2,7,both,Sore throat,Difficulty swallowing,Fever,Excessive drooling or saliva production,Difficulty breathing.,,,,,,,,,,,,,,,,,,,,
Acute Streptococcal Pyogenes Bacterial Sinusitis,Very Rare,10,70,both,Facial pain or pressure,Nasal congestion,Thick nasal discharge,Reduced sense of smell,Coughing,Fever,,,,,,,,,,,,,,,,,,,
Acute Streptococcus Pneumoniae Bacterial Sinusitis,Rare,10,70,both,Facial pain or pressure,Nasal congestion,Thick nasal discharge,Reduced sense of smell,Coughing,Fever,,,,,,,,,,,,,,,,,,,
Acute Suppurative Otitis Media With Tympanostomy Tubes,Rare,0,10,both,Ear pain,Drainage from the ear,Irritability or fussiness in young children,Difficulty sleeping,Decreased hearing.,,,,,,,,,,,,,,,,,,,,
Acute Thromboembolic Stroke,Common,20,80,both,Sudden weakness or numbness,,,,Difficulty speaking or understanding speech,Confusion,Severe headache,Dizziness,loss of balance or coordination.,,,,,,,,,,,,,,,,
Acutely Decompensated Chronic Heart Failure,Common,40,80,both,Shortness of breath,Fatigue,Swelling in legs or abdomen,Rapid or irregular heartbeat,Coughing,Increased need to urinate at night,Sudden weight gain,trouble sleeping due to coughing or wheezing,Wheezing,,,,,,,,,,,,,,,,
"Acyclovir,Resistant Hsv Infection",Very Rare,20,60,both,Painful blisters or sores in the genital or anal area,Itching or tingling sensation before the appearance of blisters,Burning with urination,Fever,,,,,,,,,,,,,,,,,,,,,
"Acyclovir,Resistant Mucocutaneous Hsv In Immunocompromised Patient",Very Rare,20,60,both,Painful blisters or sores in the genital or anal area,Itching or tingling sensation before the appearance of blisters,Burning with urination,Fever,,,,,,,,,,,,,,,,,,,,,
Adenocarcinoma Of Corpus Uteri,Rare,40,80,female,Abnormal vaginal bleeding,Pain during intercourse,Pelvic pain or pressure,bloating,Changes in bowel habits,changes in bladder habits,,,,,,,,,,,,,,,,,,,
Adenocarcinoma Of Pancreas,Common,40,80,both,Abdominal Pain,Weight loss,Yellowing of the skin and eyes (jaundice),Loss of appetite,Nausea,Changes in stool consistency.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrenal Cortex Carcinoma,Rare,20,80,both,,Irregular menstrual periods (in women),Changes in libido.,,,,,,,,,,,,,,,,,,,,,,
Adrenocortical Insufficiency,Common,20,80,both,Fatigue,Weakness,Weight loss,Nausea,Vomiting,Low blood pressure,Dizziness,Darkening of the skin (in primary adrenal insufficiency).,,,,,,,,,,,,,,,,,
Adrenogenital Disorder,Very Rare,20,80,both,Ambiguous genitalia in females,Enlarged clitoris (in females),Early development of pubic hair (in both sexes),Rapid growth during childhood,Delayed puberty,Irregular menstrual periods (in females).,,,,,,,,,,,,,,,,,,,
Adult Gonococcal Conjunctivitis,Rare,20,80,both,Redness of the eyes,Swelling of the eyelids,Yellowish discharge from the eyes,Pain or discomfort in the eyes,Sensitivity to light (photophobia),,,,,,,,,,,,,,,,,,,,
Adult Growth Hormone Deficiency,Uncommon,20,80,both,Decreased muscle mass,Increased body fat,Fatigue,Decreased bone density,Decreased exercise capacity,"Decreased socialization and well,being",Impaired concentration and memory.,,,,,,,,,,,,,,,,,,
"Adult,Onset Still's Disease",Rare,20,80,both,Fever,Joint pain,Joint swelling,Rash,Sore throat,Fatigue,Muscle pain,Loss of appetite,Weight loss,,,,,,,,,,,,,,,,
"Advanced Breast Cancer Progress Post,Antiestrogen Therapy",Rare,30,80,female,Breast lump or mass,Changes in breast size or shape,Skin changes over the breast,Nipple changes (such as inversion),Breast pain or tenderness,Swelling in the armpit,Redness or pitting of the breast skin.,,,,,,,,,,,,,,,,,,
Advanced Prostatic Carcinoma,Rare,40,80,male,unusual urinary urgency and frequency,,Weak urine flow,Blood in semen,Erectile dysfunction,Pelvic pain,Bone pain (if cancer has spread).,,,,,,,,,,,,,,,,,,
Advanced Urothelial Carcinoma With Fibroblast Growth Factor Receptor 3 (Fgfr3) Genetic Alteration,Very Rare,40,80,both,Blood in urine,Painful urination,Urinary urgency,Frequent urination,Lower back or pelvic pain,Fatigue,Weight loss,,,,,,,,,,,,,,,,,,
"Aerobic Gram,Negative Bacteremia",Rare,20,80,both,Fever,Chills,Rapid heartbeat,Rapid breathing,Hypotension,Confusion,Nausea,Vomiting,,,,,,,,,,,,,,,,,
Afibrinogenemia,Very Rare,0,80,both,Excessive bleeding,Excessive bruising,Prolonged bleeding,Bleeding into joints or muscles,Nosebleeds,Blood in urine or stool.,,,,,,,,,,,,,,,,,,,
African Trypanosomiasis,Rare,0,80,both,Fever,Headache,Joint pain,Itching,Swollen lymph nodes,Confusion,Sensory disturbances,Difficulty sleeping,Mood changes.,,,,,,,,,,,,,,,,
Agammaglobulinemia,Rare,0,80,both,Frequent infections,Recurrent respiratory infections,Chronic diarrhea,Failure to thrive (in infants),Autoimmune disorders.,,,,,,,,,,,,,,,,,,,,
Aggressive Behavior,Common,20,80,both,Hostility,Physical violence,Verbal aggression,Impulsivity,Irritability,Anger,Lack of empathy.,,,,,,,,,,,,,,,,,,
Aggressive Systemic Mastocytosis,Very Rare,20,80,both,Skin lesions (urticaria pigmentosa),Flushing,Itching,Abdominal Pain,Nausea,Vomiting,Diarrhea,Fatigue,Anemia.,,,,,,,,,,,,,,,,
Agitation,Common,0,80,both,Restlessness,Irritability,Anxiety,Difficulty concentrating,Increased motor activity,Racing thoughts,Rapid speech,Insomnia.,,,,,,,,,,,,,,,,,
Agitation Associated With Bipolar Mania,Common,0,80,both,Restlessness,Rapid speech,Impulsivity,Racing thoughts,Increased energy,Decreased need for sleep.,,,,,,,,,,,,,,,,,,,
